time,lat,lon,distance_from_start_km,segment_distance_km,wind_speed_mps,wind_dir_deg,headwind_mps,crosswind_mps,temperature_c,relative_humidity_pct,pressure_hpa,precipitation_mm,visibility_km,uv_index,air_quality_index,weather_factor,energy_wh_per_km,segment_energy_wh,cumulative_energy_wh,remaining_battery_wh,cruise_speed_mps,cruise_altitude_m,payload_g,battery_remaining_pct
2026-05-09T22:10:00,40.00069166666667,116.33769375,4.707143719334698,0.47071437193346993,2.6771875,24.724139090945016,2.060037634907245,1.7098473185995338,18.055625,65.9,1006.0625,0.0,13.99925,0.0,45.495000000000005,1.008625,41.92489021637418,19.904859708742006,200.79140950903334,0.0,8.0,62.5,250.0,0.0
2026-05-09T22:11:00,40.004780833333335,116.336263125,5.177858091268169,0.47071437193346993,2.63125,24.106893088037452,2.042675961386702,1.6585992521621713,18.005555555555556,65.98611111111111,1006.0583333333334,0.0,14.010555555555555,0.0,45.54236111111111,1.00863,41.92489021637418,19.904958381983835,220.6963678910172,0.0,8.0,62.5,250.0,0.0
2026-05-09T22:12:00,40.00887,116.3348325,5.6485724632016385,0.47071437193346993,2.5855208333333333,23.434342382649334,2.026167708431084,1.6061016147528846,17.955347222222223,66.06944444444444,1006.0541666666667,0.0,14.021472222222222,0.0,45.58819444444444,1.0089029166666665,41.92489021637418,19.91034429643388,240.60671218745108,0.0,8.0,62.5,250.0,0.0
2026-05-09T22:13:00,40.01295916666667,116.333401875,6.119286835135108,0.47071437193346993,2.54,22.705006326360888,2.010417699668265,1.5523597111689553,17.905,66.14999999999999,1006.0500000000001,0.0,14.032,0.0,45.63249999999999,1.00921,41.92489021637418,19.91640447803645,260.5231166654875,0.0,8.0,62.5,250.0,0.0
2026-05-09T22:14:00,40.017048333333335,116.33197125000001,6.590001207068578,0.47071437193346993,2.4946875000000004,21.917361387458243,1.9953250695752769,1.4973789064163647,17.854513888888892,66.22777777777779,1006.0458333333333,0.0,14.04213888888889,0.0,45.71512152777778,1.0095179166666666,41.92489021637418,19.92248110517933,280.44559777066684,0.0,8.0,62.5,250.0,0.0
2026-05-09T22:15:00,40.0211375,116.330540625,7.060715579002048,0.47071437193346993,2.449583333333333,21.069858442257157,1.9807826454228845,1.4411657151542159,17.80388888888889,66.30277777777778,1006.0416666666665,0.0,14.05188888888889,0.0,46.09465277777778,1.0098266666666669,41.92489021637418,19.928574177862515,300.37417194852935,0.0,8.0,62.5,250.0,0.0
2026-05-09T22:16:00,40.02522666666667,116.32911,7.531429950935518,0.47071437193346993,2.4046875,20.160943871969494,1.966676357199646,1.3837290481478597,17.753125,66.375,1006.0375,0.0,14.06125,0.0,46.47109375,1.0101362500000002,41.92489021637418,19.934683696086005,320.30885564461533,0.0,8.0,62.5,250.0,0.0
2026-05-09T22:17:00,40.029315833333335,116.327679375,8.002144322868988,0.47071437193346993,2.3600000000000003,19.18908495111117,1.9528847047122195,1.3250816314857996,17.702222222222222,66.44444444444446,1006.0333333333333,0.0,14.070222222222222,0.0,46.84444444444445,1.0104466666666667,41.92489021637418,19.940809659849794,340.2496653044651,0.0,8.0,62.5,250.0,0.0
2026-05-09T22:18:00,40.033405,116.32624875,8.472858694802456,0.470714371933469,2.3155208333333333,18.152799994945212,1.9392783183289992,1.2652416107841788,17.651180555555555,66.51111111111112,1006.0291666666666,0.0,14.078805555555554,0.0,47.214704861111116,1.010757916666667,41.92489021637418,19.946952069153856,360.19661737361895,0.0,8.0,62.5,250.0,0.0
2026-05-09T22:19:00,40.03749416666667,116.32481812500001,8.943573066735928,0.4707143719334708,2.27125,17.05069368061163,1.9257196577836317,1.2042343468468641,17.599999999999998,66.575,1006.025,0.0,14.087,0.0,47.581875,1.01107,41.92489021637418,19.953110923998327,380.1497282976173,0.0,8.0,62.5,250.0,0.0
