x,y,phi,kappa_end,vw_x,vw_y,v,xtol,ytol,phi_tol,kappa_tol,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11
-90,-95,3.6651914292,0,0,0,5,0.0280495904,0.0165168093,-0.0444502583,0.0009641316,-0.004037151,0.0001027162,-8.64688992825969E-07,2.41159389694487E-09,-7.38050809880434E-08,2.27302975747309E-09,-2.13363639545033E-11,6.25909224241369E-14,110.61692081,74.6263372896,0.008000034
-95,-100,3.1415926536,0,0,0,5,0.0446851517,0.0446531004,0.0447290291,-0.0141408521,-0.0041687775,0.0001095594,-9.51658384268086E-07,2.72886787672326E-09,-0.0034302395,0.0001510795,-1.70585625982769E-06,5.59666093556868E-09,104.9281405674,61.3872607179,26.1009809934
-100,-20,1.5707963268,0,0,0,5,0.040893979,-0.0153834589,0.0445621087,-0.0141276726,-0.0034492458,7.49131414246004E-05,-5.37935353540592E-07,1.28310574370996E-09,-0.004981891,0.0001535834,-1.34269977821397E-06,3.5392779839082E-09,134.7107710535,20.1672206811,47.2861144865
-90,-95,3.1415926536,0,0,0,5,0.0445424044,0.0443682319,0.0446976109,-0.0141351368,-0.0041400817,0.0001080565,-9.32750028223135E-07,2.66063848882252E-09,-0.0033445766,0.0001475078,-1.66206033812932E-06,5.43688403952648E-09,106.1170492738,53.893189484,25.6854245503
-95,-100,2.617993878,0,0,0,5,0.0445322691,0.0444240849,0.050902338,-0.014140892,-0.0042452353,0.000113527,-0.000001001,2.91303073090361E-09,-0.0054250025,0.0002080662,-2.22771660398559E-06,7.14344084389952E-09,103.7140976393,56.3734232137,37.0073746002
-90,-95,2.617993878,0,0,0,5,0.0270208552,0.0206719792,0.0495647046,-0.0139992343,-0.0042511164,0.0001138045,-1.00114140552538E-06,2.88760307182673E-09,-0.0048064053,0.0001783627,-1.86685019725499E-06,5.89315058548182E-09,101.157615028,51.0820780079,38.3433046435
-100,-20,1.0471975512,0,0,0,5,0.0086549502,0.0081317264,0.0472061056,-0.01401673,-0.0038303941,9.27836108570694E-05,-7.41778421962872E-07,1.90308766685759E-09,0.0020411993,-8.20045971866619E-05,8.36457031088861E-07,-2.45107658823058E-09,97.8088240147,12.9322827948,114.4749636927
-95,-20,1.5707963268,0,0,0,5,0.0446046167,-0.044721268,0.0447303725,-0.0141430017,-0.0034435755,7.46678363367208E-05,-5.35245847346032E-07,1.2754215090305E-09,-0.0050314594,0.0001551304,-0.000001357,3.57873227750507E-09,135.1159858295,14.8130113968,47.1988005593
-95,-100,2.0943951024,0,0,0,5,0.0445208896,0.0444644801,0.0524522811,-0.0141415194,-0.0047142783,0.0001400998,-1.37063474832707E-06,4.35247776696956E-09,-0.0064624213,0.0002507213,-2.76594312580206E-06,9.20912273341593E-09,87.5017463799,79.8539846,39.847068926
-90,-95,2.0943951024,0,0,0,5,0.0583385972,-0.0121878263,0.0495622466,-0.0139730917,-0.0043760533,0.0001206379,-1.08259619290935E-06,3.16707534909822E-09,-0.0027495751,5.1770655623764E-05,-1.93395730582915E-07,-2.25194986328171E-10,92.2340366547,48.6343638197,65.5748990432
-95,-20,1.0471975512,0,0,0,5,0.0207059887,0.067671255,0.0530181899,-0.0140146855,-0.0035003367,7.67634457177099E-05,-5.43670377457716E-07,1.25913681044829E-09,-0.0016267824,8.47670060473556E-06,1.51359476430307E-07,-8.19573794824147E-10,121.1721532487,11.9267174996,90.0257620313
-95,-100,1.5707963268,0,0,0,5,0.0445185523,0.0444684335,0.0447309662,-0.0141417926,-0.004880203,0.0001502619,-1.52979210062493E-06,0.000000005,0.0047679261,-0.0002052607,2.38974642600961E-06,-8.23230350030371E-09,80.8768499606,43.5238474084,100.8282404943
-90,-95,1.5707963268,0,0,0,5,0.0472057316,-0.0013712352,0.0435908382,-0.014089412,-0.0049093127,0.0001520753,-0.000001559,5.12625750472978E-09,0.0047306839,-0.0002026778,2.35723893648128E-06,-8.11831007093767E-09,82.5296057341,34.8944297143,100.857237673
-100,-20,0.5235987756,0,0,0,5,0.0447223257,0.0447292889,0.0524806479,-0.0142123381,-0.0036228034,8.31978706735001E-05,-6.43283423224318E-07,1.64744429548798E-09,0.0037003262,-0.0001321025,0.000001268,-3.59206172313919E-09,116.0610996401,1.8314617252,122.1467369847
-95,-100,1.0471975512,0,0,0,5,0.0397940564,0.0390880246,0.0507951973,-0.0141365561,-0.0045255703,0.0001270809,-1.12329297269874E-06,3.08855105090677E-09,0.0037455461,-0.000133721,1.28161601384023E-06,-3.62473256227622E-09,68.348677778,57.5690891811,122.9375586005
-90,-95,1.0471975512,0,0,0,5,0.0074684592,0.0066934744,0.0481014044,-0.0140089202,-0.0044223673,0.0001208121,-1.01184744393932E-06,2.64905204760237E-09,0.0037846987,-0.0001316286,1.24545299206489E-06,-3.49418425452547E-09,64.1401248949,54.6475312268,124.4604860921
-95,-20,0.5235987756,0,0,0,5,0.0447209449,0.0447208103,0.0524580874,-0.0142126748,-0.0036359065,8.38973007922953E-05,-6.53693504363872E-07,1.68599364019163E-09,0.0037941111,-0.000133934,1.28237508041139E-06,-3.63305288118252E-09,112.6648626719,8.1194580891912E-19,122.2607531526
-95,-100,0.5235987756,0,0,0,5,0.0408188663,0.0308090628,-0.0507627693,0.0141376323,-0.0035229173,7.71383191390272E-05,-0.000000537,1.20041667091033E-09,-0.0034218743,0.0001046012,-8.66063459978817E-07,2.12290406679301E-09,123.307540225,10.63968697,142.9551552634
-90,-95,0.5235987756,0,0,0,5,-0.0156475823,0.0355669181,0.0497056996,-0.0140197375,-0.0038978839,9.64869276216743E-05,-7.24886267800548E-07,1.68720890029035E-09,0.0026694084,-8.81238472958895E-05,7.51562274857506E-07,-1.86872404854916E-09,72.3658963503,56.0339681816,140.1903743094
-95,-20,0,0,0,0,5,0.0445615923,-0.0093494081,0.044730921,-0.01414195,-0.0037126095,8.70633210914295E-05,-6.79502910461691E-07,1.68814963274858E-09,0.0037108678,-0.0001147661,0.000000979,-2.48605760452169E-09,102.1831062444,17.0071619337,137.639137307
-95,-25,5.7595865316,0,0,0,5,0.0282875459,0.0139236344,-0.0519388228,0.0141165778,0.0032787205,-6.85541374864203E-05,4.86590425432591E-07,-1.12474110703548E-09,-0.0031344595,0.000090067,-7.41616765411275E-07,1.83031636223663E-09,108.539121227,1.9311501471,136.3413196817
-100,-25,5.7595865316,0,0,0,5,0.0438883211,0.0424903305,-0.0524355438,0.0141407411,0.0031291826,-6.14222991615825E-05,0.000000394,-8.26036473842003E-10,0.0046421935,-0.0001293857,1.02542933756869E-06,-2.45272974496682E-09,182.3473895959,5.1098209326,56.1075989924
-95,-25,5.235987756,0,0,0,5,0.0278366047,0.0175973382,-0.0501864482,0.0140886103,0.003057392,-5.88173266288171E-05,3.73053227939154E-07,-7.84660732949109E-10,0.004343088,-0.0001178124,9.08799154583187E-07,-2.11800420606465E-09,151.6996704494,17.5843153206,53.4540427486
-100,-25,5.235987756,0,0,0,5,0.0446862358,0.0446423683,-0.0509124456,0.014142048,0.0030709547,-5.93583111359062E-05,3.78918756820931E-07,-8.04012670378787E-10,0.0045575667,-0.0001246997,9.70166292498109E-07,-2.27794916629702E-09,173.8810939899,0.0106385851,52.9901241958
-95,-25,4.7123889804,0,0,0,5,0.0077821077,-0.0058773925,-0.0421254438,0.013983111,-0.0028278371,5.05266359250363E-05,-2.987262048486E-07,5.88627315654737E-10,0.0041562691,-0.0001079249,8.06411410718679E-07,-1.83275682556193E-09,154.1860543664,0.9664411418,60.0952829175
-100,100,5.7595865316,0,0,0,5,0.0262566282,-0.0234670307,-0.0518240852,0.014119612,0.0042120822,-0.0001084461,8.31232140390818E-07,-0.000000002,-0.0032348487,0.0001011501,-8.47604668723727E-07,2.09468157389099E-09,66.1343111146,69.4864025612,140.9262871298
-95,-25,4.1887902048,0,0,0,5,0.0272783817,-0.0202883685,-0.0517089821,0.0140808065,-0.0031036873,6.1035289778815E-05,-4.02744299968371E-07,8.81377045916676E-10,0.0044630914,-0.0001213656,9.43448990903904E-07,-2.22176368987189E-09,142.4482741382,1.5255023474,52.7922542891
-100,-25,4.7123889804,0,0,0,5,0.0337864854,0.0037770477,-0.0426188163,0.0140045321,-0.0029540009,5.54512138210667E-05,-3.50156048963003E-07,7.31517142518112E-10,0.00296279,-5.41565183109296E-05,2.94332450774254E-07,-4.88867959062434E-10,144.5389114652,0.9058281593,80.4868129997
-100,100,5.235987756,0,0,0,5,0.0259886932,-0.0237764802,-0.050348993,0.0141131907,0.0045579471,-0.0001289723,1.14586502465051E-06,-3.18412304629317E-09,-0.0038940421,0.000142162,-1.39708509923892E-06,4.05571098103176E-09,66.5702319042,65.4436653413,119.9736909321
-90,-100,5.7595865316,0,0,0,5,-0.0146920344,0.0086380927,-0.0503095368,0.0139898696,-0.0033705795,6.99220622639589E-05,-4.40835315197022E-07,8.6984696971446E-10,-0.0039097937,0.0001391379,-1.35277525710292E-06,3.90942493794496E-09,98.499396279,14.5388878665,120.2428776584
-100,-25,4.1887902048,0,0,0,5,0.0276472862,-0.0191102653,-0.051667484,0.0140774999,-0.0031412202,6.24326993937256E-05,-4.15233430887148E-07,9.13104113191113E-10,0.0044478691,-0.0001217137,9.51208088864058E-07,-2.25103283834109E-09,141.2873633747,7.5498479791,52.3390669175
-100,100,4.7123889804,0,0,0,5,0.0447133654,-0.0447110594,-0.0447360724,0.0141421216,0.004844596,-0.0001482636,0.000001503,-4.92096063115811E-09,-0.0047344677,0.00020663,-2.4318179249415E-06,8.45933987675094E-09,82.1085907917,47.1493529287,99.7554778387
-100,-25,3.6651914292,0,0,0,5,0.0283372537,-0.0152937572,-0.0493198997,0.0139694547,-0.0032709711,6.76626354509098E-05,-4.67695382198306E-07,1.0680282755269E-09,0.0032424307,-9.38954306876697E-05,7.68949897519069E-07,-1.90263758181875E-09,127.4452986736,19.3946719429,44.8572827955
-95,-25,3.6651914292,0,0,0,5,0.0447181621,-0.0439944563,-0.0509185201,0.0141421776,-0.0032652319,6.74207830986148E-05,-4.6577245164605E-07,1.06698710042443E-09,0.0039068118,-0.0001201526,1.01785832864671E-06,-2.56888735719399E-09,115.9475598379,28.7049056144,42.0112005803
-90,-100,5.235987756,0,0,0,5,0.0408193603,0.0306005902,-0.050769613,0.0141311252,-0.0038523216,9.36293611929509E-05,-7.54885927444923E-07,0.000000002,0.0056173797,-0.0001898288,1.82435023242937E-06,-5.29242313864814E-09,159.9703264473,0.386723558,47.0299824607
-100,100,4.1887902048,0,0,0,5,0.044713457,-0.044710679,-0.052457807,0.0141421105,0.0046266559,-0.0001349962,1.29792885325987E-06,-4.06375816686507E-09,0.0064124508,-0.0002468506,2.70205092705058E-06,-8.92627782787595E-09,89.528085722,81.7296763438,39.9877621998
-90,-100,4.7123889804,0,0,0,5,0.0446877104,0.0446225329,-0.0447343892,0.014141945,-0.0040285611,0.0001024623,-8.67080533242582E-07,2.43062196284643E-09,0.0057791135,-0.0002063243,0.000002088,-6.36853435914611E-09,129.4735739798,24.8848728497,40.5810459773
-90,-100,4.1887902048,0,0,0,5,0.0446863764,0.0446426568,-0.0524530992,0.0141413795,-0.0041057327,0.0001063453,-0.000000914,2.60091511617507E-09,0.0039283828,-0.0001629689,0.000001788,-5.75826129411548E-09,107.138079671,51.4115710697,30.0386255347
-100,100,3.6651914292,0,0,0,5,0.0446840092,-0.0446594974,-0.0509113187,0.0141418786,0.0042106384,-0.0001116938,9.77458402732406E-07,-2.82454842042291E-09,0.0053012245,-0.0002030709,2.16582503797354E-06,-6.91073440598435E-09,104.7196045592,59.8317134631,36.8427310597
-100,-25,2.617993878,0,0,0,5,0.0287955505,-0.0088499061,0.0455198738,-0.0134318588,-0.0033263185,0.000069736,-4.83392929746372E-07,1.10412239089125E-09,-0.00120803,3.42906295828834E-05,-2.81453913064109E-07,7.04004436264607E-10,128.7000138676,34.3343349199,25.6208654711
-95,-25,2.617993878,0,0,0,5,0.0408237624,-0.0290441577,0.0493970312,-0.0138808703,-0.0033006857,6.86622341936211E-05,-4.73458390179404E-07,1.0827579153225E-09,-0.0014886589,4.54357247508446E-05,-3.86069417552866E-07,0.000000001,134.6519523467,23.5262296816,25.4547381673
-100,100,3.1415926536,0,0,0,5,0.0446855251,-0.0446504066,-0.0447285132,0.0141407256,0.0041368205,-0.0001078869,9.3036973361708E-07,-2.65038219726215E-09,0.0033478149,-0.0001477479,1.66418809521924E-06,-5.43914269318045E-09,106.0469811851,65.170204913,25.6658202193
-100,-25,2.0943951024,0,0,0,5,0.0408822901,-0.0183400465,0.0521589381,-0.0141101014,-0.0033506113,7.06113613463332E-05,-4.90425247885723E-07,1.12998940649807E-09,-0.0038203652,0.0001213375,-1.05823610312411E-06,2.74895523072046E-09,136.5114995124,14.5434640161,41.2858474509
-95,-25,2.0943951024,0,0,0,5,0.0439239037,-0.0370908027,0.0523972009,-0.0141355143,-0.0033421228,7.0235484062447E-05,-4.86392503135416E-07,1.11864013403226E-09,-0.0039116262,0.0001248238,-1.09247134176196E-06,2.84417325378504E-09,139.3688474781,7.0266823072,40.9235578998
-100,-25,1.5707963268,0,0,0,5,0.0408955056,0.0044698514,0.0445768003,-0.0141286203,-0.0035052851,7.73428302204251E-05,-5.63700123973425E-07,1.36286951968168E-09,-0.0051530048,0.0001598761,-1.41090669043529E-06,3.75900679654085E-09,134.0930002089,20.359986084,47.424972283
-90,-100,3.1415926536,0,0,0,5,0.0403703657,0.037282288,0.0439591958,-0.0140177124,-0.0042111511,0.0001117894,-9.7959141154999E-07,2.82759196717839E-09,-0.0029775438,0.0001214157,-1.32326267717039E-06,4.26583397059612E-09,102.924129539,56.6488423837,28.493717528
-95,-25,1.5707963268,0,0,0,5,0.0284853259,0.0040073196,0.0441423459,-0.0141092662,-0.0037751411,9.01793137655446E-05,-7.15481897339687E-07,1.83554336579062E-09,0.001904734,-7.25999051209708E-05,7.38133873190968E-07,-2.1669051503469E-09,92.1751512252,0.5910429564,109.3573640564
-100,100,2.0943951024,0,0,0,5,0.0091081713,-0.0031043637,0.0438599089,-0.013445716,0.0039641564,-9.9256157940949E-05,8.19818668133916E-07,-2.22445031132036E-09,-0.002862019,0.0001000708,-1.00193461595686E-06,0.000000003,106.9392965033,54.6751424264,36.977428383
-100,-25,1.0471975512,0,0,0,5,0.0446892965,0.0444044959,0.0509127211,-0.0141420848,-0.0040005933,0.000102099,-8.85105694025061E-07,2.4495412249289E-09,0.0040483576,-0.0001290456,1.19554190859261E-06,-3.34352510835241E-09,90.3371411254,10.0037177365,122.0183534908
-90,-100,2.617993878,0,0,0,5,0.0437676557,0.0433131922,0.0508578155,-0.0141359652,-0.0043019244,0.000116559,-1.04506310306049E-06,3.1097566675608E-09,-0.0058240304,0.0002276527,-2.4996885044702E-06,8.24175220583854E-09,105.7280221551,50.2219428973,36.7113315622
-90,-100,2.0943951024,0,0,0,5,-0.0032981697,-0.0180488514,0.0499071191,-0.0139430339,-0.0045011811,0.0001275543,-1.17509004310504E-06,3.51583852288156E-09,-0.0017452566,1.23871349723118E-05,2.41292182161855E-07,-1.67661732458642E-09,89.0256988475,49.095643232,72.4245309371
-95,-25,1.0471975512,0,0,0,5,0.0340760718,0.0158568618,0.0505337847,-0.0141226622,-0.0038122894,9.27632968202826E-05,-7.67240519678684E-07,2.05922123673784E-09,0.0038151967,-0.0001251271,1.17542447281114E-06,-3.31429886977159E-09,92.3264950231,4.4112130059,120.8687293872
-100,100,1.5707963268,0,0,0,5,0.0446880795,-0.0446103932,0.0447344928,-0.0141419627,0.0039719689,-9.96273032138785E-05,8.28915898001459E-07,-2.27145609896925E-09,-0.0054790148,0.0001904796,-1.87162477324413E-06,5.53582364888103E-09,107.3892654071,55.738942224,41.7015667261
-90,-100,1.5707963268,0,0,0,5,0.0436914767,0.0435136046,0.044709876,-0.0141404652,-0.0049465969,0.0001540276,-0.000001582,5.18792153091792E-09,0.0047774937,-0.0002028637,2.33645350979059E-06,-0.000000008,79.0388857545,40.5852654034,101.9085414401
-100,100,1.0471975512,0,0,0,5,0.043920478,-0.041040661,0.0508852114,-0.0141399918,0.003778539,-8.9775105720904E-05,0.000000702,-1.80048194668056E-09,-0.0055891616,0.000187593,-1.79036687057218E-06,5.15695771725848E-09,169.6154547356,0.1199943197,47.550676172
-100,-25,0.5235987756,0,0,0,5,0.0446682759,0.0447213715,0.052473921,-0.0142119956,-0.0037476022,8.9114538359307E-05,-7.15237125668294E-07,1.90040206676711E-09,0.0040417733,-0.0001466007,1.44184402449288E-06,-4.19883964065649E-09,105.5590757786,13.9068291132,119.4920424131
-90,-100,1.0471975512,0,0,0,5,0.0072571819,0.0069640363,0.0481209778,-0.014010259,-0.0044669271,0.0001229293,-1.02958307796558E-06,2.68680351024314E-09,0.0037301395,-0.0001296574,1.22181494889754E-06,-3.4103774004792E-09,63.1923073226,58.4997251693,125.1149014081
-95,-25,0.5235987756,0,0,0,5,0.0444832408,0.0445614296,0.0524935664,-0.0142125324,-0.0037639927,9.00042360304379E-05,-7.28621783643548E-07,0.000000002,0.0041351127,-0.0001487989,1.46186250190034E-06,-4.26162312021466E-09,107.5963351698,6.7219422158,119.503177764
-100,100,0.5235987756,0,0,0,5,0.0439137718,-0.0399304664,0.0524342829,-0.0141408705,0.0037050008,-8.62682763123821E-05,6.60788961742302E-07,-1.68056096376084E-09,0.0032658682,-0.0001274321,0.000001294,-3.83490737689842E-09,114.1648958972,10.5136484942,115.9521328958
-90,-100,0.5235987756,0,0,0,5,0.043905541,0.041533423,-0.0508833166,0.0141412327,-0.0035557253,7.86110808877069E-05,-5.52099773255184E-07,1.2434631481438E-09,-0.0034177935,0.0001047889,-8.69595517231256E-07,2.13589242047876E-09,122.0140817225,7.2108098347,142.669890255
-95,-25,0,0,0,0,5,0.0439263517,0.0311869603,0.0447088215,-0.0141412114,-0.0036701427,8.4929576413279E-05,-0.000000651,1.59107714260465E-09,0.0035330653,-0.0001106442,9.42722290914097E-07,-2.38067787890035E-09,104.9697456716,14.2054765252,138.3017455275
