sample_id,ok,fp32_gpu_mae_db,fp32_gpu_ms_avg,fp32_gpu_ms_max,fp32_gpu_ms_min,fp32_gpu_rmse_db,int8_dsp_mae_db,int8_dsp_ms_avg,int8_dsp_ms_max,int8_dsp_ms_min,int8_dsp_rmse_db,int8_dsp_speedup_vs_fp32_gpu,int8_dsp_speedup_vs_int8_gpu,int8_dsp_vs_fp32_mae_db,int8_dsp_vs_fp32_max_abs_db,int8_dsp_vs_fp32_rmse_db,int8_dsp_vs_gpu_mae_db,int8_dsp_vs_gpu_max_abs_db,int8_dsp_vs_gpu_rmse_db,int8_gpu_mae_db,int8_gpu_ms_avg,int8_gpu_ms_max,int8_gpu_ms_min,int8_gpu_rmse_db,int8_gpu_vs_fp32_mae_db,int8_gpu_vs_fp32_max_abs_db,int8_gpu_vs_fp32_rmse_db
103_k0,True,1.1168594360351562,310.20395501400344,310.20395501400344,310.20395501400344,2.2902471712143053,3.1410558223724365,76.46575599210337,76.46575599210337,76.46575599210337,4.817315206898164,4.056769608686511,4.117417658659515,2.558743953704834,21.417465209960938,4.250524044036865,2.5679423809051514,21.092132568359375,4.230204105377197,1.1290878057479858,314.84145400463603,314.84145400463603,314.84145400463603,2.308521353527223,0.1049371212720871,1.3873519897460938,0.13546863198280334
103_k1,True,1.3562768697738647,298.4322959964629,298.4322959964629,298.4322959964629,2.58425830360799,3.430518627166748,76.58634800463915,76.58634800463915,76.58634800463915,5.141963517797397,3.8966774597789366,3.7395136919702217,2.7201802730560303,21.442489624023438,4.53302526473999,2.7245101928710938,21.292335510253906,4.506740093231201,1.390271544456482,286.3956969813444,286.3956969813444,286.3956969813444,2.65139776110365,0.1283411979675293,1.2324981689453125,0.16324172914028168
683_k0,True,0.7951061129570007,292.62924098293297,292.62924098293297,292.62924098293297,1.8648323304841892,3.1129508018493652,75.32571500632912,75.32571500632912,75.32571500632912,4.7681633864705315,3.8848518193069297,4.214922128084647,2.944099187850952,22.443511962890625,4.5320024490356445,2.947885036468506,22.243301391601562,4.531052112579346,0.7945178151130676,317.4920229939744,317.4920229939744,317.4920229939744,1.8489427664374583,0.08036766946315765,0.9009170532226562,0.11388994753360748
683_k1,True,2.2393648624420166,321.3591089879628,321.3591089879628,321.3591089879628,3.137783758090513,3.027989625930786,75.86779200937599,75.86779200937599,75.86779200937599,4.361676227431313,4.235777798149816,3.951496821760781,1.844724178314209,28.799972534179688,3.3134820461273193,1.7433441877365112,28.224395751953125,3.253890037536621,2.196519136428833,299.7913389990572,299.7913389990572,299.7913389990572,3.078664974350407,0.1951824128627777,1.43896484375,0.22699271142482758
81_k0,True,1.796049952507019,291.09399500885047,291.09399500885047,291.09399500885047,3.2530421177752267,3.2699055671691895,77.28188901091926,77.28188901091926,77.28188901091926,5.106714144918448,3.7666521708303664,3.8563729462757284,2.504302740097046,23.39447021484375,4.277831554412842,2.5072853565216064,23.26934814453125,4.273897647857666,1.7867118120193481,298.02778601879254,298.02778601879254,298.02778601879254,3.2672319610795926,0.09697667509317398,1.6047592163085938,0.1254979372024536
81_k1,True,2.402296543121338,289.2658629862126,289.2658629862126,289.2658629862126,3.708854010100331,3.1931071281433105,84.68420500867069,84.68420500867069,84.68420500867069,4.849866389371049,3.4158183684501155,3.4413484895687443,1.8564682006835938,23.26934814453125,3.4539473056793213,1.908713459968567,23.46955108642578,3.4733664989471436,2.4474034309387207,291.42786099691875,291.42786099691875,291.42786099691875,3.7776768723893075,0.1651749163866043,1.7330169677734375,0.20363980531692505
296_k0,True,3.427854299545288,325.077010988025,325.077010988025,325.077010988025,4.974613017457933,3.7577579021453857,81.37217900366522,81.37217900366522,81.37217900366522,5.4116549072200515,3.994940469437136,3.473253124864288,1.748140573501587,23.21929931640625,3.4073779582977295,1.7009649276733398,23.06914520263672,3.3567872047424316,3.5787110328674316,282.62617500149645,282.62617500149645,282.62617500149645,5.135340423740201,0.2729848027229309,1.550018310546875,0.3436061143875122
296_k1,True,3.193971872329712,293.15453200251795,293.15453200251795,293.15453200251795,4.748434310665987,4.431873321533203,81.09258598415181,81.09258598415181,81.09258598415181,6.127909689334898,3.6150596068031438,3.47000794960367,1.7732548713684082,21.236801147460938,3.3428659439086914,1.7678592205047607,21.84992218017578,3.401522159576416,3.1882169246673584,281.39191801892594,281.39191801892594,281.39191801892594,4.735850290007102,0.3803768455982208,2.909210205078125,0.49826422333717346
233_k0,True,1.3109276294708252,296.5357239881996,296.5357239881996,296.5357239881996,2.3571121783551368,3.090935230255127,74.08785002189688,74.08785002189688,74.08785002189688,4.8311284177022324,4.002487909968471,3.9081149597957765,2.8504014015197754,21.99304962158203,4.543642044067383,2.833420991897583,21.91796875,4.528170585632324,1.2921743392944336,289.54383500968106,289.54383500968106,289.54383500968106,2.3479275919522693,0.05677418410778046,1.0635833740234375,0.07524147629737854
233_k1,True,1.6635090112686157,309.3938620004337,309.3938620004337,309.3938620004337,3.130229541539574,2.709630012512207,75.59649899485521,75.59649899485521,75.59649899485521,4.576081636901051,4.092700933431981,4.060684252493555,2.2484242916107178,24.7208251953125,4.042215824127197,2.209784746170044,24.7958984375,3.9999637603759766,1.6393532752990723,306.97351301205344,306.97351301205344,306.97351301205344,3.1043396630607845,0.10314501076936722,1.1324005126953125,0.16848990321159363
